long_name,height_cm,weight_kg,age,overall,potential,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year
Saad Al Sheeb,188,79,32,70,70,GK,Qatar,11,12.0,14.0,16.0,11.0,17,13,9,15,20,50,44,40,69,30,53,60,37,50,9,38,12,11,51.0,10.0,13,13,12,73.0,68.0,70.0,67.0,68.0,2023
Pedro Miguel C. Deus Correia,180,76,31,71,71,RWB,Qatar,67,35.0,61.0,64.0,29.0,62,53,35,65,66,72,75,61,63,57,45,65,83,77,34,71,67,58,60.0,33.0,65,68,72,11.0,10.0,15.0,7.0,9.0,2023
Abdelkarim Hassan Al Haj Fadlalla,185,81,28,73,73,LCB,Qatar,74,57.0,67.0,68.0,59.0,66,61,60,67,69,69,81,57,67,62,86,71,84,81,77,84,66,71,64.0,45.0,67,69,68,14.0,11.0,8.0,6.0,6.0,2023
Mohammed Waad,183,68,22,66,75,SUB,Qatar,53,43.0,60.0,64.0,51.0,59,55,53,65,63,71,70,59,60,54,75,72,70,76,67,65,64,53,56.0,56.0,65,66,64,9.0,14.0,8.0,12.0,7.0,2023
Tarek Salman,179,69,24,70,77,SUB,Qatar,39,31.0,68.0,70.0,42.0,54,61,40,67,67,73,77,60,73,67,30,79,75,73,39,69,66,45,61.0,35.0,71,69,66,7.0,14.0,12.0,9.0,15.0,2023
Abdulaziz Hatem,182,76,31,73,73,LCM,Qatar,71,66.0,64.0,75.0,60.0,68,68,53,74,73,59,63,68,74,65,75,70,79,73,78,58,66,69,72.0,44.0,61,67,60,15.0,10.0,13.0,10.0,8.0,2023
Ahmed Alaaeldin,176,73,29,66,66,SUB,Qatar,45,61.0,67.0,53.0,59.0,65,50,41,41,67,80,82,72,64,78,65,88,57,67,55,40,27,68,52.0,61.0,23,16,14,10.0,5.0,13.0,12.0,10.0,2023
Ali Asad,174,61,29,69,69,SUB,Qatar,68,67.0,43.0,69.0,70.0,76,70,53,67,76,73,65,85,61,76,61,54,50,40,63,60,28,65,65.0,50.0,37,27,34,9.0,12.0,7.0,7.0,8.0,2023
Mohammed Muntari,192,77,28,68,68,SUB,Qatar,39,72.0,73.0,57.0,66.0,63,45,40,42,65,52,73,49,60,32,68,68,59,84,64,55,26,68,51.0,67.0,21,19,24,8.0,7.0,10.0,5.0,7.0,2023
Hassan Al Haydos,174,66,31,73,73,RW,Qatar,69,68.0,45.0,73.0,53.0,75,67,65,66,76,83,76,77,73,86,64,51,63,41,66,37,46,71,73.0,77.0,35,27,21,12.0,16.0,16.0,10.0,8.0,2023
Akram Hassan Afif,176,70,25,77,80,LW,Qatar,73,75.0,48.0,76.0,69.0,80,76,59,71,76,87,87,83,69,74,70,69,72,51,66,37,27,75,69.0,76.0,28,36,28,7.0,14.0,8.0,5.0,10.0,2023
Karim Boudiaf,190,85,31,73,73,RCM,Qatar,65,62.0,66.0,76.0,54.0,70,73,53,77,75,50,53,62,71,58,69,72,79,78,69,62,66,57,75.0,40.0,68,67,64,10.0,6.0,11.0,13.0,13.0,2023
Musab Kheder,176,64,28,66,66,SUB,Qatar,62,38.0,53.0,61.0,35.0,64,51,35,53,63,80,82,83,53,75,40,57,66,48,34,60,61,58,49.0,41.0,59,63,64,9.0,10.0,11.0,10.0,13.0,2023
Homam Ahmed,188,75,22,71,78,LWB,Qatar,68,37.0,58.0,65.0,57.0,66,66,42,64,69,71,79,59,66,49,50,62,80,72,52,62,65,62,56.0,35.0,66,67,65,13.0,6.0,14.0,11.0,9.0,2023
Bassam Al Rawi,175,74,24,71,77,RCB,Qatar,49,38.0,66.0,67.0,40.0,63,74,74,64,67,75,73,74,67,75,63,89,74,75,57,81,65,45,55.0,46.0,69,72,70,8.0,8.0,9.0,14.0,9.0,2023
Boualem Khoukhi,185,76,31,74,74,CB,Qatar,39,47.0,76.0,67.0,46.0,51,64,63,65,65,58,66,47,71,57,75,86,77,82,72,72,73,46,51.0,71.0,75,73,69,9.0,14.0,6.0,14.0,7.0,2023
Khaled Muneer,174,67,24,63,67,SUB,Qatar,54,62.0,61.0,52.0,63.0,67,57,45,51,66,87,80,89,52,84,60,75,64,48,50,40,26,53,53.0,50.0,24,31,24,5.0,12.0,6.0,5.0,15.0,2023
Almoez Ali,180,69,25,74,77,ST,Qatar,39,78.0,76.0,61.0,75.0,69,53,49,49,65,70,83,60,71,42,77,81,65,77,69,55,19,75,59.0,75.0,21,12,18,12.0,14.0,15.0,6.0,12.0,2023
Salem Al Hajri,183,74,26,63,67,SUB,Qatar,45,35.0,58.0,63.0,35.0,50,49,35,57,57,61,55,59,58,66,43,68,58,71,38,68,63,34,52.0,40.0,61,66,65,12.0,12.0,12.0,9.0,14.0,2023
Yousef Hassan,186,78,26,65,68,SUB,Qatar,13,7.0,11.0,26.0,9.0,6,11,13,21,12,31,29,33,63,55,44,50,17,52,6,16,8,6,28.0,14.0,8,10,14,64.0,62.0,59.0,66.0,65.0,2023
Meshaal Barsham,180,72,24,68,74,SUB,Qatar,13,5.0,12.0,17.0,5.0,5,10,13,22,14,56,48,56,66,62,44,74,28,44,8,16,12,6,39.0,10.0,9,13,11,67.0,62.0,58.0,67.0,73.0,2023
Assim Omer Al Haj Madibo,168,72,25,67,71,SUB,Qatar,45,35.0,51.0,63.0,31.0,57,42,34,59,60,84,80,71,61,83,45,65,78,72,36,80,70,46,51.0,41.0,66,68,68,12.0,11.0,15.0,7.0,15.0,2023
Jassem Gaber,182,71,20,61,73,RES,Qatar,39,25.0,60.0,54.0,42.0,45,35,26,49,51,61,64,57,60,51,41,77,75,72,32,67,65,37,50.0,31.0,60,61,64,12.0,10.0,6.0,9.0,10.0,2023
Hernán Ismael Galíndez,189,90,35,73,73,SUB,Ecuador,11,15.0,11.0,22.0,10.0,13,14,13,33,21,33,30,38,68,28,51,54,28,76,13,23,26,18,42.0,20.0,14,11,14,73.0,70.0,68.0,77.0,73.0,2023
Félix Eduardo Torres Caicedo,187,77,25,76,83,RCB,Ecuador,39,34.0,75.0,66.0,32.0,55,37,46,52,67,69,73,55,73,59,50,82,75,78,28,75,79,35,45.0,53.0,76,78,76,6.0,6.0,12.0,11.0,5.0,2023
Piero Martín Hincapié Reyna,183,66,20,79,86,LCB,Ecuador,55,40.0,76.0,78.0,29.0,70,56,32,75,75,79,86,73,75,65,50,80,74,74,27,71,77,55,53.0,33.0,80,83,85,9.0,15.0,10.0,6.0,9.0,2023
Robert Abel Arboleda Escobar,189,80,30,74,74,SUB,Ecuador,57,32.0,78.0,63.0,23.0,60,42,19,59,54,72,74,62,62,69,44,72,77,75,38,78,73,36,45.0,44.0,78,76,79,9.0,8.0,8.0,13.0,11.0,2023
José Adoni Cifuentes Charcopa,175,70,23,71,80,SUB,Ecuador,56,61.0,68.0,73.0,38.0,74,63,34,67,74,67,74,70,70,77,74,73,74,75,59,77,64,70,72.0,51.0,66,72,66,14.0,10.0,8.0,14.0,8.0,2023
William Joel Pacho Tenorio,186,81,20,69,79,SUB,Ecuador,46,30.0,67.0,64.0,26.0,52,31,38,61,62,76,83,63,64,56,41,75,69,79,29,70,65,36,47.0,36.0,65,71,69,9.0,12.0,12.0,13.0,10.0,2023
Pervis Josué Estupiñán Tenorio,175,78,24,80,84,LB,Ecuador,82,60.0,75.0,79.0,38.0,73,63,70,62,71,80,82,74,74,73,55,72,86,75,56,74,75,52,56.0,69.0,69,80,79,14.0,7.0,14.0,7.0,7.0,2023
